,package,Standard,Vignettes,Others,Number_Functions,Downloads,Version
1,adehabitatHR,Yes,Yes,Yes,45,1882.833333,0.4.15
2,adehabitatHS,Yes,Yes,Yes,52,605.25,0.3.13
3,adehabitatLT,Yes,Yes,Yes,94,2297.666667,0.3.23
4,amt,Yes,Yes,No,105,234,0.0.5.0
5,animalTrack,Yes,No,No,14,209.8333333,1.0.0
6,anipaths,Yes,Yes,No,4,167.1818182,0.9.7
7,argosfilter,Yes,No,No,11,345.5,0.63
8,argosTrack,Yes,Yes,No,41,NA,1.2.2-1
9,BayesianAnimalTracker,Yes,No,No,6,181.5833333,1.2
10,BBMM,Yes,No,No,6,278.1666667,3
11,bcpa,Yes,Yes,No,17,241.9166667,1.1
12,bsam,Yes,No,No,13,189.3333333,1.1.2
13,caribou,Yes,No,No,9,143.0833333,1.1
14,crawl,Yes,No,No,28,276.25,2.2.1
15,ctmcmove,Yes,Yes,No,10,206.4166667,1.2.9
16,ctmm,Yes,Yes,Yes,39,321.8333333,0.5.5
17,EMbC,Yes,Yes,No,27,171.75,2.0.1
18,feedr,Yes,Yes,No,32,NA,0.10.0
19,FLightR,Yes,Yes,Yes,17,175.3333333,0.4.8
20,GeoLight,Yes,Yes,Yes,28,223.5833333,2.0.0
21,hab,Yes,No,No,25,NA,1.20.4
22,HMMoce,Yes,Yes,No,47,97.72727273,1.0.0
23,kftrack,Yes,Yes,No,12,NA,0.3
24,m2b,Yes,Yes,Yes,15,107.8333333,1
25,marcher,Yes,Yes,No,18,107.5833333,0.0-2
26,migrateR,Yes,Yes,No,18,NA,1.0.7
27,mkde,Yes,No,No,36,137.4166667,0.1
28,momentuHMM,Yes,Yes,No,78,202.6666667,1.4.3
29,move,Yes,Yes,No,79,588.5833333,3.1.0
30,moveHMM,Yes,Yes,Yes,41,333.0833333,1.6
31,movementAnalysis,Yes,Yes,No,16,NA,0.6
32,moveNT,Yes,Yes,No,11,NA,0.0.0.9000
33,moveVis,Yes,No,No,8,208.5,0.9.9
34,moveWindSpeed,Yes,Yes,No,11,110.25,0.2.3
35,probGLS,Yes,No,No,11,NA,0.9.5
36,recurse,Yes,Yes,Yes,10,124.2222222,1.1.0
37,rhr,Yes,Yes,Yes,78,NA,1.2.909
38,rpostgisLT,Yes,Yes,Yes,10,114.9166667,0.6.0
39,rsMove,Yes,Yes,No,25,129.6666667,0.2.7
40,SDLfilter,Yes,No,No,19,106,1.2.1
41,SGAT/TripEstimation,Yes,No,No,74,NA,0.0-44
42,SimilarityMeasures,Yes,No,No,19,164.5,1.4
43,SiMRiv,Yes,Yes,No,14,138.1666667,1.0.3
44,smam,Yes,No,No,7,130.1666667,0.4.0
45,T-LoCoH,Yes,Yes,Yes,84,NA,1.40.05
46,telemetr,Yes,Yes,No,12,NA,0.3
47,trackeR,Yes,Yes,Yes,116,176,1.2.0
48,trackit,Yes,No,No,20,NA,0.2-6
49,TrackReconstruction,Yes,Yes,No,28,142.5833333,1.1
50,TrajDataMining,Yes,Yes,No,19,87.7,0.1.6
51,trajectories,Yes,Yes,No,11,222.8333333,0.2-1
52,trajr,Yes,Yes,Yes,42,114.875,1.1.0
53,trip,Yes,Yes,No,31,303.9166667,1.5.0
54,TwilightFree,Yes,Yes,No,7,NA,0.1.1
55,ukfsst/kfsst,Yes,Yes,No,10,NA,0.3
56,VTrack,Yes,Yes,Yes,26,171.25,1.21
57,wildlifeDI,Yes,Yes,No,23,128.1666667,0.2
